episode,absolute error
582,7641.586535334107
583,9822.848037378211
584,11444.232691159012
585,11406.515479270269
586,9225.19421576482
587,11490.072399417482
588,11428.270182240129
589,6060.749037474018
590,9416.853399311283
591,13537.521130553128
592,12930.872157448806
593,8795.272270303509
594,10101.041272561795
595,11389.259937849736
596,8499.4590929332
597,10161.51724012609
598,8213.82879880478
599,10363.180090422777
600,11353.783622926416
601,18212.731059641104
602,10227.025564300688
603,9120.564048198325
604,10022.544434987089
605,7829.354157601005
606,11204.57699938992
607,10772.57046095316
608,6824.56091341253
609,9487.514410554177
610,7669.908245214918
611,10247.63365621043
612,10389.084106361985
613,9624.107680026058
614,10486.85621886305
615,10016.633871672384
616,12337.060743078102
617,9190.76743989936
618,10862.39461906293
619,11270.464902714944
620,10190.441897544935
621,10368.20614633042
622,14610.168089663508
623,10518.720627088023
624,10927.974650528884
625,9492.995668303642
626,8870.993550835461
627,9452.39900678256
628,11983.970263849842
629,12239.550799276329
630,9847.509044769711
631,10632.824971394157
632,10824.234692921054
633,12994.685623028918
634,8523.407545257862
635,9321.900427079929
636,13626.79079303124
637,10660.262468595714
638,10549.936575418187
639,9645.371971024177
640,10528.83486639713
641,9939.508431452292
642,14316.17998668829
643,9918.135206481482
644,10479.742936578126
645,9660.885097976892
646,10719.540350170828
647,14454.010479367378
648,14773.61646754413
649,14030.259839882545
650,11938.70105396806
651,9080.351990262505
652,14023.122504503375
653,13884.88030607879
654,10222.443150379411
655,10327.189405627703
656,9078.27846004374
657,13243.285860069507
658,7683.872356852681
659,12980.987929431183
660,17315.26542857
661,12658.050775884449
662,11940.320458749367
663,12111.417022805426
664,9629.510542794498
665,13123.283160638382
666,12991.577172026364
667,10733.541367070777
668,7686.989205383351
669,7985.018839467622
670,11679.026449490904
671,11863.646143905717
672,12399.287270892806
673,10492.998807358064
674,13012.38998225801
675,12634.194742628886
676,7925.852392172605
677,13613.501198253303
678,6694.582230349753
679,9899.335887196095
680,12347.496739989912
681,12418.593051209198
682,10835.896407350529
683,7535.438111844101
684,7592.475843572207
685,11277.929895982534
686,6761.389806405008
687,6496.963360121131
688,7064.576217320107
689,14627.52944548266
690,6649.170241872576
691,13224.822537722855
692,12122.122637292405
693,12873.690219782657
694,10303.68330222932
695,7817.384321232389
696,5814.559247051346
697,6513.615720777878
698,14096.165606113216
699,11326.255285054618
700,13815.935172521717
701,9737.543253378828
702,10876.18341682672
703,8175.735513955306
704,10907.334253770665
705,13312.075395858692
706,9847.13990903514
707,11239.146568419608
708,7440.410662740788
709,8300.326966830718
710,8452.495400349044
711,13104.90123934762
712,15536.415095468588
713,11283.042323841062
714,9215.466012424948
715,5581.806120140659
716,13415.846052604924
717,12142.450018852089
718,5293.50606136606
719,12065.57038660366
720,6891.556774554041
721,6253.242254931583
722,6206.87481743442
723,5300.508118193688
724,15548.117003507045
725,14000.775050693686
726,12775.283225721238
727,13820.3133237502
728,14383.694762440187
729,11996.234439045493
730,11995.157269989222
731,14472.84761892795
732,13750.762781516038
733,12712.631961671848
734,5328.516681006373
735,14301.78487929683
736,14734.241323270417
737,6126.045453950165
738,12131.050024644788
739,13020.03122028
740,12200.55774158598
741,15285.634369106814
742,12902.605905121874
743,9320.579899991615
744,6449.996076388375
745,5483.1463474632
746,6595.367697572983
747,15775.328609249718
748,12264.44872476808
749,7966.521088819718
750,15265.749337071607
751,7247.511843390942
752,12806.575136129744
753,11658.913680721242
754,6765.810508792631
755,7035.057213829359
756,5769.925272873368
757,11469.46025240281
758,5873.707690146836
