episode,length,step
591,1000,433237
592,1000,434237
593,1000,435237
594,1000,436237
595,1000,437237
596,1000,438237
597,1000,439237
598,1000,440237
599,504,440741
600,1000,441741
601,1000,442741
602,1000,443741
603,1000,444741
604,1000,445741
605,1000,446741
606,1000,447741
607,1000,448741
608,1000,449741
609,1000,450741
610,1000,451741
611,1000,452741
612,1000,453741
613,1000,454741
614,1000,455741
615,1000,456741
616,1000,457741
617,1000,458741
618,1000,459741
619,1000,460741
620,1000,461741
621,1000,462741
622,1000,463741
623,215,463956
624,1000,464956
625,1000,465956
626,1000,466956
627,1000,467956
628,1000,468956
629,1000,469956
630,1000,470956
631,1000,471956
632,1000,472956
633,1000,473956
634,1000,474956
635,1000,475956
636,1000,476956
637,1000,477956
638,1000,478956
639,1000,479956
640,1000,480956
641,1000,481956
642,1000,482956
643,150,483106
644,1000,484106
645,1000,485106
646,1000,486106
647,1000,487106
648,1000,488106
649,1000,489106
650,1000,490106
651,1000,491106
652,99,491205
653,1000,492205
654,1000,493205
655,1000,494205
656,1000,495205
657,1000,496205
658,1000,497205
659,1000,498205
660,1000,499205
661,1000,500205
662,1000,501205
663,1000,502205
664,1000,503205
665,1000,504205
666,1000,505205
667,1000,506205
668,1000,507205
669,1000,508205
670,1000,509205
671,79,509284
672,1000,510284
673,1000,511284
674,1000,512284
675,1000,513284
676,1000,514284
677,1000,515284
678,1000,516284
679,1000,517284
680,1000,518284
681,1000,519284
682,1000,520284
683,1000,521284
684,1000,522284
685,1000,523284
686,1000,524284
687,1000,525284
688,1000,526284
689,1000,527284
690,1000,528284
691,1000,529284
692,1000,530284
693,1000,531284
694,1000,532284
695,1000,533284
696,1000,534284
697,1000,535284
698,1000,536284
699,1000,537284
700,424,537708
701,1000,538708
702,1000,539708
703,1000,540708
704,1000,541708
705,1000,542708
706,1000,543708
707,202,543910
708,1000,544910
709,1000,545910
710,1000,546910
711,1000,547910
712,1000,548910
713,1000,549910
714,1000,550910
715,1000,551910
716,1000,552910
717,1000,553910
718,1000,554910
719,1000,555910
720,1000,556910
721,1000,557910
722,1000,558910
723,144,559054
724,1000,560054
725,1000,561054
726,1000,562054
727,1000,563054
728,1000,564054
729,1000,565054
730,1000,566054
731,1000,567054
732,118,567172
733,1000,568172
734,1000,569172
735,168,569340
736,1000,570340
737,1000,571340
738,1000,572340
739,87,572427
740,1000,573427
741,1000,574427
742,1000,575427
743,1000,576427
744,85,576512
745,1000,577512
746,1000,578512
747,1000,579512
748,1000,580512
749,1000,581512
750,1000,582512
751,1000,583512
752,1000,584512
753,1000,585512
754,1000,586512
755,1000,587512
756,104,587616
757,1000,588616
758,1000,589616
759,1000,590616
760,1000,591616
761,1000,592616
762,1000,593616
763,1000,594616
764,1000,595616
765,102,595718
766,1000,596718
767,1000,597718
768,1000,598718
769,1000,599718
770,195,599913
771,1000,600913
772,1000,601913
773,1000,602913
774,1000,603913
775,1000,604913
776,1000,605913
777,1000,606913
778,1000,607913
779,1000,608913
780,190,609103
781,1000,610103
782,1000,611103
783,1000,612103
784,1000,613103
785,1000,614103
786,1000,615103
787,1000,616103
788,1000,617103
789,1000,618103
790,1000,619103
791,1000,620103
792,161,620264
793,1000,621264
794,1000,622264
795,1000,623264
796,1000,624264
797,1000,625264
798,1000,626264
799,1000,627264
800,1000,628264
801,1000,629264
802,1000,630264
803,1000,631264
804,1000,632264
805,1000,633264
806,1000,634264
807,207,634471
808,1000,635471
809,1000,636471
810,1000,637471
811,1000,638471
812,154,638625
813,1000,639625
814,1000,640625
815,1000,641625
816,1000,642625
817,1000,643625
818,1000,644625
819,1000,645625
820,1000,646625
821,1000,647625
822,1000,648625
823,503,649128
824,777,649905
825,1000,650905
826,1000,651905
827,1000,652905
828,1000,653905
829,1000,654905
830,1000,655905
831,1000,656905
832,1000,657905
833,1000,658905
834,1000,659905
835,1000,660905
836,1000,661905
837,1000,662905
838,1000,663905
839,1000,664905
840,1000,665905
841,1000,666905
842,1000,667905
843,1000,668905
844,1000,669905
845,1000,670905
846,1000,671905
847,1000,672905
848,1000,673905
849,1000,674905
850,150,675055
851,1000,676055
852,1000,677055
853,1000,678055
854,1000,679055
855,132,679187
856,1000,680187
857,1000,681187
858,1000,682187
859,1000,683187
860,1000,684187
861,1000,685187
862,141,685328
863,1000,686328
864,1000,687328
865,1000,688328
866,1000,689328
867,1000,690328
868,1000,691328
869,1000,692328
870,1000,693328
871,1000,694328
872,1000,695328
873,1000,696328
874,1000,697328
875,1000,698328
876,1000,699328
877,1000,700328
878,1000,701328
879,1000,702328
880,1000,703328
881,1000,704328
882,1000,705328
883,1000,706328
884,108,706436
885,1000,707436
886,1000,708436
887,1000,709436
888,1000,710436
889,1000,711436
890,1000,712436
891,1000,713436
892,1000,714436
893,1000,715436
894,1000,716436
895,1000,717436
896,1000,718436
897,1000,719436
898,89,719525
899,161,719686
900,1000,720686
901,1000,721686
902,1000,722686
903,1000,723686
904,1000,724686
905,1000,725686
906,1000,726686
907,1000,727686
908,1000,728686
909,1000,729686
910,1000,730686
911,1000,731686
912,1000,732686
913,300,732986
914,1000,733986
915,1000,734986
916,1000,735986
917,1000,736986
918,1000,737986
919,1000,738986
920,1000,739986
921,103,740089
922,1000,741089
923,113,741202
924,1000,742202
925,1000,743202
926,1000,744202
927,1000,745202
928,1000,746202
929,1000,747202
930,1000,748202
931,1000,749202
932,1000,750202
933,1000,751202
934,1000,752202
935,1000,753202
936,1000,754202
937,1000,755202
938,1000,756202
939,1000,757202
940,1000,758202
941,1000,759202
942,1000,760202
943,1000,761202
944,1000,762202
945,1000,763202
946,1000,764202
947,1000,765202
948,1000,766202
949,1000,767202
950,1000,768202
951,1000,769202
952,1000,770202
953,1000,771202
954,1000,772202
955,1000,773202
956,1000,774202
957,1000,775202
958,1000,776202
959,1000,777202
960,1000,778202
961,87,778289
962,1000,779289
963,1000,780289
964,1000,781289
965,1000,782289
966,1000,783289
967,102,783391
968,1000,784391
969,1000,785391
970,1000,786391
971,94,786485
972,1000,787485
973,1000,788485
974,1000,789485
975,1000,790485
976,1000,791485
977,1000,792485
978,1000,793485
979,1000,794485
