episode,absolute error,step
557,13281.094205681788,404978
558,13963.24414373202,405978
559,10110.432355324028,406095
560,10730.36823024113,406230
561,9450.395595592316,406325
562,9638.33839854657,406448
563,11283.200829060494,406559
564,9102.00517329987,407559
565,6191.371619288367,408559
566,20004.979525702,409091
567,32334.888262602293,410091
568,18374.88279893645,411091
569,17088.573129630764,412091
570,8675.816078116046,413091
571,15137.97526352899,414091
572,7860.79952171553,414408
573,22349.538215504595,415408
574,26428.97364067167,416408
575,9097.946154719972,417408
576,17295.321614184304,418408
577,23892.669383618464,419408
578,13531.97135844778,420408
579,22757.908269338168,421408
580,22068.13793910929,422408
581,25911.932953262,423408
582,12288.5557286927,424408
583,9509.316686519403,425408
584,16633.594681320752,426408
585,9207.892448346938,427408
586,34266.1934509821,428408
587,14010.948339706596,429408
588,27720.643723400648,430408
589,11262.980333557673,431408
590,22969.191208865243,432237
591,19313.05756934161,433237
592,16989.762833929046,434237
593,9661.61098973786,435237
594,8470.586927771674,436237
595,19866.56533549227,437237
596,23378.652633760936,438237
597,15293.765417033985,439237
598,14153.490056009468,440237
599,9379.95685262682,440741
600,10293.999049422342,441741
601,8531.410330586146,442741
602,10072.61378125822,443741
603,8124.080579886647,444741
604,8790.06620965646,445741
605,23752.416254241463,446741
606,16530.01949059728,447741
607,9983.347560934844,448741
608,40847.3717065352,449741
609,9082.66454287415,450741
610,31030.81658994114,451741
611,13795.670725384703,452741
612,11184.515913866637,453741
613,7633.189434860168,454741
614,10376.570633112273,455741
615,10239.632047993506,456741
616,9473.377323374652,457741
617,16951.28259719876,458741
618,11283.590730551725,459741
619,16666.106927370976,460741
620,8478.4954162123,461741
621,23834.300629541693,462741
622,9178.22278052446,463741
623,11360.89549377146,463956
624,30984.19309499986,464956
625,10563.592843870018,465956
626,10393.84807151836,466956
627,9889.846053624138,467956
628,9636.27539534759,468956
629,10036.506064287212,469956
630,10856.734620899831,470956
631,9898.14688726687,471956
632,8757.932632582295,472956
633,18304.36768185772,473956
634,10269.2398933263,474956
635,10468.3718808728,475956
636,12526.434231170331,476956
637,12583.107537335312,477956
638,10861.672769543571,478956
639,14440.0406726923,479956
640,10790.368723311512,480956
641,11701.706671393898,481956
642,11304.155919216482,482956
643,11630.724808585746,483106
644,9616.057047227929,484106
645,9446.49669073293,485106
646,22716.316844518533,486106
647,10648.287811143047,487106
648,10182.26822253069,488106
649,10235.868853247062,489106
650,16394.99629487465,490106
651,10569.44560495346,491106
652,8607.523292242473,491205
653,13778.921203654938,492205
654,10998.692245601129,493205
655,18103.15618245388,494205
656,9942.470029360278,495205
657,10716.285906775856,496205
658,9751.646677993049,497205
