episode,absolute error,step
263,227694.3933872737,215211
264,302135.4800037022,216210
265,471752.1787168859,217209
266,37508.29774491993,218208
267,13584.803657690532,219207
268,60790.81495643726,220206
269,340126.4240918228,221205
270,16692.99590292713,222204
271,44796.43127131383,223203
272,444967.0724246272,224202
273,237617.8763276573,224715
274,157608.26270836467,225243
275,110290.03573721624,225380
276,147096.4349490754,225654
277,201430.6388505031,226653
278,67912.57426611146,227652
279,80037.4496771962,228270
280,17974.87331560265,229269
281,22180.864842590912,230268
282,48491.65436826878,231267
283,94745.78513187535,232266
284,282503.9502880585,233265
285,32986.28018514307,234264
286,127404.45590478567,235263
287,199087.38381536145,236262
288,25149.738664749068,237261
289,215347.6336247828,238253
290,225760.6330255433,238859
291,157225.43669491177,239858
292,305572.3785875155,240553
293,16695.573835189363,241552
294,517725.8746866068,242484
295,826071.4490189947,243483
296,1024898.0343577196,244438
297,32903.25794232219,245437
298,34517.64649821237,246436
299,55062.93268076201,247435
300,139466.80750056775,248434
301,126175.59199405972,249433
302,24195.98799857712,250432
303,62637.36516242808,251431
304,213465.1421274402,251962
305,1288507.4537493798,252961
306,1092303.2158741597,253767
307,265383.3088850314,254054
308,183641.8599571551,254158
309,488294.91148082126,254499
310,151065.9558552309,254658
311,198794.44056502503,254772
312,220466.9890661744,254872
313,146101.7312998282,254965
314,127218.04849477128,255080
315,212843.6181239032,255202
316,166306.7867543121,255310
317,499126.7291299891,255590
318,191590.0795124033,255701
319,672681.7553203794,256034
320,210052.0473860314,256150
321,1251130.3236912196,256793
322,155745.8807213435,256905
323,238358.50157805177,257020
324,154746.20497740022,257138
325,158985.0449113336,257244
326,139431.14825029552,257356
327,187567.2833643017,257461
328,180660.2495366071,257573
329,99451.74312946788,257693
330,62831.33340230431,257834
331,247505.9888729116,257941
332,119572.391306425,258057
333,234102.16565118,258175
334,117413.5422286775,258252
335,746281.9981721826,258671
336,2290945.1924954355,259670
337,708532.8653955559,260067
338,208079.0871884306,260185
339,737593.5832390952,260576
340,216349.573434996,260692
341,1685017.180525234,261691
342,946548.360250728,262122
343,136659.6902014761,262189
344,225322.4361011602,262305
345,127079.50769308634,262373
346,125530.1972068428,262440
